Platform,Epoch,Epoch Time (s),Train Loss,Train Accuracy,Test Accuracy,Throughput (samples/s),Timestamp,System RAM Used (MB),Process RAM Used (MB),GPU VRAM Used (MB)
CPU_Numba,1,4.15,0.57329,0.84658,0.93613,14495.42,2025-05-04 22:16:45,14542.95,1294.47,-1.0
CPU_Numba,2,1.905,0.19612,0.94176,0.95322,31586.75,2025-05-04 22:16:47,14527.09,1305.16,-1.0
CPU_Numba,3,1.883,0.15253,0.9548,0.96143,31946.44,2025-05-04 22:16:49,14560.91,1316.42,-1.0
CPU_Numba,4,1.888,0.13227,0.96014,0.96494,31869.99,2025-05-04 22:16:51,14512.69,1326.41,-1.0
CPU_Numba,5,1.852,0.11843,0.96461,0.96611,32489.18,2025-05-04 22:16:52,14548.47,1327.97,-1.0
CPU_Numba,6,1.846,0.1077,0.96742,0.96338,32597.33,2025-05-04 22:16:54,14528.31,1337.98,-1.0
CPU_Numba,7,1.84,0.10061,0.96963,0.96865,32698.93,2025-05-04 22:16:56,14506.27,1348.02,-1.0
CPU_Numba,8,1.842,0.09466,0.97113,0.97344,32663.04,2025-05-04 22:16:58,14481.45,1356.53,-1.0
CPU_Numba,9,1.849,0.08965,0.97257,0.97109,32530.95,2025-05-04 22:17:00,14525.8,1366.38,-1.0
CPU_Numba,10,1.873,0.0863,0.97374,0.97422,32128.0,2025-05-04 22:17:02,14589.47,1366.38,-1.0
