Platform,Epoch,Epoch Time (s),Train Loss,Train Accuracy,Test Accuracy,Throughput (samples/s),Timestamp,System RAM Used (MB),Process RAM Used (MB),GPU VRAM Used (MB)
CUDA_Numba,1,2.172,0.51009,0.84716,0.9457,27813.03,2025-05-04 23:00:43,9996.48,1156.5,0.0
CUDA_Numba,2,0.789,0.17376,0.94675,0.95898,76568.55,2025-05-04 23:00:43,9982.14,1156.88,0.0
CUDA_Numba,3,0.79,0.13057,0.95955,0.96348,76478.77,2025-05-04 23:00:44,9989.73,1156.91,0.0
CUDA_Numba,4,0.798,0.10993,0.96625,0.96787,75693.95,2025-05-04 23:00:45,9997.96,1156.95,0.0
CUDA_Numba,5,0.788,0.09559,0.97062,0.96299,76699.77,2025-05-04 23:00:46,9986.58,1156.95,0.0
CUDA_Numba,6,0.78,0.08965,0.97247,0.97227,77439.89,2025-05-04 23:00:47,9993.88,1156.95,0.0
CUDA_Numba,7,0.791,0.08374,0.97448,0.97432,76425.26,2025-05-04 23:00:47,9981.27,1156.95,0.0
CUDA_Numba,8,0.79,0.07692,0.9762,0.97188,76476.39,2025-05-04 23:00:48,9988.93,1156.95,0.0
CUDA_Numba,9,0.79,0.07,0.97813,0.97451,76498.9,2025-05-04 23:00:49,9997.72,1156.95,0.0
CUDA_Numba,10,0.78,0.0663,0.97939,0.97559,77484.57,2025-05-04 23:00:50,9984.59,1156.95,0.0
