Platform,Epoch,Epoch Time (s),Train Loss,Train Accuracy,Test Accuracy,Throughput (samples/s),Timestamp,System RAM Used (MB),Process RAM Used (MB),GPU VRAM Used (MB)
PyTorch_CPU,1,11.134,0.67159,0.8004,0.94365,5403.15,2025-05-04 22:17:17,14770.16,1675.52,-1.0
PyTorch_CPU,2,11.051,0.17001,0.94837,0.96357,5443.79,2025-05-04 22:17:28,14759.55,1683.52,-1.0
PyTorch_CPU,3,11.17,0.11511,0.96479,0.97373,5385.85,2025-05-04 22:17:39,14736.73,1694.09,-1.0
PyTorch_CPU,4,11.153,0.09161,0.97144,0.97793,5394.07,2025-05-04 22:17:50,14756.62,1699.36,-1.0
PyTorch_CPU,5,11.102,0.07535,0.97703,0.98008,5418.77,2025-05-04 22:18:01,14803.69,1704.66,-1.0
PyTorch_CPU,6,11.633,0.06625,0.97954,0.98301,5171.71,2025-05-04 22:18:13,14934.91,1704.73,-1.0
PyTorch_CPU,7,11.35,0.05729,0.9824,0.98262,5300.27,2025-05-04 22:18:24,14819.67,1686.86,-1.0
PyTorch_CPU,8,11.552,0.05226,0.98418,0.98398,5207.83,2025-05-04 22:18:36,14829.78,1447.33,-1.0
PyTorch_CPU,9,11.317,0.04815,0.98481,0.9834,5315.84,2025-05-04 22:18:47,14553.12,1450.78,-1.0
PyTorch_CPU,10,11.225,0.04352,0.9865,0.98496,5359.3,2025-05-04 22:18:58,14737.44,1372.5,-1.0
