Platform,Epoch,Epoch Time (s),Train Loss,Train Accuracy,Test Accuracy,Throughput (samples/s),Timestamp,System RAM Used (MB),Process RAM Used (MB),GPU VRAM Used (MB)
PyTorch_MPS,1,9.29,0.80025,0.76843,0.92168,6475.78,2025-05-04 22:19:12,14858.62,1246.11,-1.0
PyTorch_MPS,2,8.953,0.18554,0.94453,0.96055,6719.76,2025-05-04 22:19:21,14815.56,1246.8,-1.0
PyTorch_MPS,3,8.927,0.11689,0.96571,0.97412,6739.02,2025-05-04 22:19:29,14835.11,1247.59,-1.0
PyTorch_MPS,4,8.912,0.09026,0.97286,0.97656,6750.67,2025-05-04 22:19:38,14813.88,1248.45,-1.0
PyTorch_MPS,5,9.145,0.07592,0.97675,0.9793,6578.19,2025-05-04 22:19:48,15096.86,1235.33,-1.0
PyTorch_MPS,6,9.036,0.06454,0.98078,0.98203,6658.14,2025-05-04 22:19:57,15109.5,1235.75,-1.0
PyTorch_MPS,7,9.039,0.05736,0.98288,0.98242,6655.91,2025-05-04 22:20:06,14894.05,1196.98,-1.0
PyTorch_MPS,8,9.05,0.05052,0.98494,0.98477,6647.71,2025-05-04 22:20:15,15184.92,1074.64,-1.0
PyTorch_MPS,9,9.177,0.04754,0.98546,0.98496,6555.59,2025-05-04 22:20:24,15070.2,1075.17,-1.0
PyTorch_MPS,10,9.015,0.04364,0.98674,0.98486,6673.64,2025-05-04 22:20:33,14910.94,1075.64,-1.0
